Rank,Title,Link,Img Link,All topics,Breaking news,Free Speech Week,Protest coverage,Sexual misconduct,Opinion
76,Hottest people who went to UC Berkeley,http://www.dailycal.org/2017/02/03/hottest-people-who-went-to-berkeley/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/04/BerkeleyPrices_WinkyWong-900x580.jpg,y,,,,,
77,Refugees serve up coffee in new Berkeley café,http://www.dailycal.org/2017/01/23/refugees-serve-coffee-new-berkeley-cafe/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/01/1951_mikaela_raphael_staff-900x580.jpg,y,,,,,
78,Right-wing author Ann Coulter invited to speak at UC Berkeley in April,http://www.dailycal.org/2017/03/28/right-wing-author-ann-coulter-invited-speak-uc-berkeley-april/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/03/coulter.jpg,y,y,,,,
79,"UC Berkeley paves way for Ben Shapiro event, securing Zellerbach Hall",http://www.dailycal.org/2017/08/15/ben-shapiro-event-set-for-zellerbach-hall-gaining-1500-more-seats-than-requested/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/07/shapiro_gageskidmore_creativecommons-copy-900x580.jpg,y,,,,,
80,Petition to fire Berkeley Unified School District teacher resurfaces after Fox News interview,http://www.dailycal.org/2017/02/15/petition-fire-berkeley-unified-school-district-teacher-resurfaces-fox-news-interview/,http://i2.wp.com/www.dailycal.org/assets/uploads/2017/02/felarca_arielhayat_file-900x580.jpg,y,,,,,
81,Free Speech Movement veterans and historians comment on Milo Yiannopoulos free speech controversy,http://www.dailycal.org/2017/01/17/free-speech-movement-veterans-historians-comment-milo-yiannopoulos-free-speech-controversy/,http://i0.wp.com/www.dailycal.org/assets/uploads/2016/10/michael-drummond-file-crime-400x258.jpg,y,,,,,y
82,13 reasons why Greek life is the worst,http://www.dailycal.org/2017/04/26/13-reasons-why-greek-life-is-the-worst/,http://i0.wp.com/www.dailycal.org/assets/uploads/2014/10/GreekConsentKA_MDrummond.jpg,y,,,,,
83,"NASA, UC Berkeley recruit public to help find 9th planet",http://www.dailycal.org/2017/02/20/nasa-uc-berkeley-recruit-public-help-find-9th-planet/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/02/copyedited_EmilyZhong_planets-900x580.jpg,y,,,,,
84,Big pussy,http://www.dailycal.org/2017/03/14/big-pussy/,http://i1.wp.com/www.dailycal.org/assets/uploads/2017/02/Kylie_Sammons_online.jpg,y,,,,,y
85,Young America’s Foundation: Who is funding UC Berkeley’s Ben Shapiro event?,http://www.dailycal.org/2017/09/14/young-americas-foundation-who-is-funding-uc-berkeleys-ben-shapiro-event/,http://i0.wp.com/www.dailycal.org/assets/uploads/2017/09/YAF-01-900x580.png,y,,,y,,
